name,crack_num,pits_num,markup_num,lat,long
0,0,0,0,59.564018999999995,30.118965000000003
1,0,0,0,59.564018999999995,30.118965000000003
2,0,0,0,59.563842,30.119546000000003
3,0,0,0,59.563842,30.119546000000003
4,0,0,0,59.563614,30.120286
5,0,0,0,59.563614,30.120286
6,0,0,1,59.563505000000006,30.120496999999997
7,0,0,0,59.563345,30.120683000000003
8,0,0,0,59.563345,30.120682000000002
9,1,0,0,59.563109999999995,30.120951
10,1,0,0,59.563109999999995,30.120951
11,1,0,0,59.563161,30.120895
12,1,0,0,59.562883,30.119998
13,1,0,0,59.562883,30.119998
14,1,0,1,59.562721999999994,30.119483000000002
15,1,0,1,59.562514,30.119007
16,1,0,1,59.562514,30.119007
17,0,0,1,59.562362,30.118658
18,1,0,1,59.562028000000005,30.118249
19,1,0,1,59.562028000000005,30.118249
20,0,0,0,59.561549,30.117634999999996
21,0,0,0,59.561549,30.117634999999996
22,0,0,0,59.561523,30.117597999999997
23,0,0,1,59.561580000000006,30.117339
24,0,0,0,59.561792000000004,30.116902000000003
25,0,0,0,59.561792000000004,30.116902000000003
26,2,0,0,59.561856000000006,30.116788
27,1,0,0,59.562011,30.116602
28,0,0,0,59.562175,30.116321000000003
29,0,0,0,59.562175,30.116321000000003
30,0,0,0,59.562368000000006,30.115990000000004
31,0,0,0,59.562435,30.116013
32,0,0,0,59.562435,30.116013
33,1,0,0,59.562796,30.116137
34,1,0,0,59.562940000000005,30.11605
35,1,0,0,59.56296700000001,30.116094
36,1,0,0,59.56296700000001,30.116094
37,1,0,0,59.563461,30.116896
38,1,0,0,59.563461,30.116896
39,0,0,0,59.563979,30.117744000000002
40,0,0,0,59.563979,30.117744000000002
41,3,0,0,59.564249,30.118185999999998
42,3,0,0,59.564237,30.118229
43,3,0,0,59.564237,30.118229
44,3,0,0,59.564249,30.118185999999998
45,0,0,1,59.564606000000005,30.118713
46,0,0,1,59.564606000000005,30.118714
47,0,0,1,59.564676,30.118807
48,1,0,1,59.565005000000006,30.11908
49,1,0,1,59.565005000000006,30.11908
50,1,0,1,59.565481000000005,30.119460999999998
51,1,0,1,59.565481000000005,30.119460999999998
52,0,0,1,59.565681000000005,30.119618
53,0,0,1,59.565670999999995,30.119678000000004
54,0,0,1,59.565670999999995,30.119678000000004
55,0,0,0,59.565555,30.120359000000004
56,0,0,0,59.565555,30.120359000000004
57,0,0,1,59.565401,30.121259999999996
58,0,0,1,59.565401,30.121259999999996
59,1,0,0,59.56531999999999,30.121733000000003
60,2,0,0,59.565277,30.1217
61,2,0,0,59.565277,30.1217
62,2,0,0,59.56489200000001,30.121409999999997
63,2,0,0,59.56489200000001,30.121409000000003
64,1,0,0,59.56451800000001,30.121127
65,1,0,0,59.56451800000001,30.121127
66,1,0,0,59.563674,30.120489000000003
67,1,0,0,59.563674,30.120489000000003
68,1,0,0,59.563563,30.120406
69,0,0,0,59.563623,30.120265000000003
70,3,0,0,59.564249,30.118185999999998
71,0,0,1,59.564676,30.118807
72,0,0,1,59.565681000000005,30.119618
73,1,0,0,59.56531999999999,30.121733000000003
74,0,0,1,59.564577,30.121171
75,0,0,1,59.56454300000001,30.121343
76,0,0,1,59.56454300000001,30.121343
77,0,0,1,59.56434399999999,30.122356
78,0,0,1,59.564324,30.122344000000002
79,0,0,1,59.564324,30.122344000000002
80,0,0,1,59.56434399999999,30.122356
81,0,0,1,59.564112,30.123558000000003
82,0,0,1,59.564112,30.123558000000003
83,0,0,0,59.564098,30.123633
84,1,0,0,59.562856999999994,30.122674
85,1,0,0,59.562856999999994,30.122674
86,1,0,1,59.562374,30.122301
87,1,0,1,59.562374,30.122301
88,2,0,0,59.562088,30.122081
89,2,0,0,59.562112,30.122055
90,2,0,0,59.562112,30.122054
91,0,0,0,59.562728,30.121374
92,0,0,0,59.562728,30.121374
93,1,0,0,59.563126000000004,30.120934000000002
94,1,0,0,59.563126000000004,30.120934000000002
95,1,0,1,59.561780000000006,30.122398999999998
96,1,0,1,59.561780000000006,30.122398999999998
97,0,0,0,59.561220999999996,30.123002000000003
98,0,0,0,59.561220999999996,30.123002000000003
99,0,0,0,59.560572,30.123701
100,0,0,0,59.560572,30.123701
101,3,0,0,59.560141,30.124167
102,3,0,0,59.560141,30.124166
103,1,0,2,59.559765000000006,30.124572999999998
104,1,0,2,59.559765000000006,30.124572999999998
105,1,0,2,59.559763000000004,30.124575
106,0,0,0,59.559474,30.123459000000004
107,0,0,0,59.559474,30.123459000000004
108,0,0,0,59.559326,30.122887
109,0,0,0,59.559326,30.122887
110,0,0,2,59.559897,30.12508
111,0,0,2,59.559897,30.12508
112,0,0,0,59.560297999999996,30.126593
113,0,0,0,59.560297999999996,30.126593
114,0,0,0,59.56058,30.127668
115,0,0,0,59.56058,30.127668
116,0,0,1,59.560575,30.127651
117,0,0,2,59.561141000000006,30.127064
118,0,0,2,59.561141000000006,30.127064
