n;lat; lon
215;59.553489;30.130635
216;59.553736;30.130489
217;59.554375;30.129975
218;59.554161;30.132417
219;59.554004;30.132412
220;59.552759;30.131984
221;59.552702;30.131862
222;59.55223;30.131691
223;59.552112;30.131622
224;59.552054;30.131535
225;59.552054;30.131535
226;59.552026;30.131415
227;59.552014;30.131034
228;59.551987;30.130842
229;59.552171;30.130749
230;59.553072;30.130692
231;59.553489;30.130635
232;59.553736;30.130489
233;59.554375;30.129975
234;59.554161;30.132417
235;59.554004;30.132412
236;59.553683;30.1323
237;59.553683;30.1323
238;59.552975;30.132057
239;59.552933;30.132515
240;59.553829;30.132858
241;59.554004;30.132412
242;59.554161;30.132417
243;59.554675;30.132608
244;59.554675;30.132608
245;59.55533;30.132837
246;59.55533;30.132837
247;59.555628;30.13283
248;59.555723;30.132805
249;59.555789;30.132772
250;59.555951;30.13262
251;59.555951;30.13262
252;59.556871;30.131648
253;59.556871;30.131648
254;59.55775;30.130719
255;59.55775;30.130719
256;59.557915;30.130545
257;59.55826;30.131787
258;59.558286;30.131759
259;59.558286;30.131759
260;59.55826;30.131787
261;59.558626;30.13316
262;59.558626;30.13316
263;59.558869;30.134086
264;59.558987;30.134206
265;59.558983;30.134254
266;59.558983;30.134254
267;59.558987;30.134206
268;59.559334;30.134559
269;59.559893;30.134961
270;59.559893;30.134961
271;59.56086;30.135569
272;59.56086;30.135569
273;59.56163;30.136052
274;59.56163;30.136053
275;59.561653;30.136067
276;59.561812;30.135263
277;59.561812;30.135263
278;59.562201;30.133306
279;59.562201;30.133306
280;59.562407;30.132266
281;59.562407;30.132266
282;59.56279;30.130341
283;59.56279;30.130341
284;59.562832;30.130128
285;59.563744;30.130784
286;59.563744;30.130784
287;59.564547;30.13138
288;59.564547;30.131381
289;59.565157;30.131835
290;59.565513;30.13004
291;59.56551;30.129812
292;59.565485;30.129693
293;59.565184;30.128849
294;59.565042;30.128733
295;59.564767;30.128739
296;59.56455;30.128873
297;59.564479;30.128967
298;59.564432;30.12908
299;59.564376;30.129036
300;59.564079;30.129218
301;59.56314;30.128518
302;59.562343;30.132589
303;59.564089;30.133909
304;59.564348;30.132631
305;59.564348;30.132631
306;59.564594;30.131416
307;59.565157;30.131835
308;59.56546;30.130315
309;59.565643;30.13044
310;59.565706;30.130706
311;59.566222;30.1311
312;59.565964;30.132436
313;59.56578;30.132299
314;59.56578;30.132299
315;59.565157;30.131835
316;59.565513;30.13004
317;59.56551;30.129812
318;59.565485;30.129693
319;59.565184;30.128849
320;59.565144;30.12868
321;59.56542;30.12728
322;59.566368;30.127896
323;59.56626;30.128579
324;59.566607;30.128801
325;59.566623;30.129019
326;59.566577;30.12952
327;59.566432;30.130256
328;59.566459;30.13036
329;59.56659;30.130572
330;59.566669;30.130833
331;59.566702;30.130892
332;59.567156;30.131277
333;59.56678;30.133044
334;59.566553;30.132874
335;59.566553;30.132875
336;59.566481;30.132821
337;59.566867;30.131031
338;59.567156;30.131277
339;59.566601;30.133886
340;59.566601;30.133886
341;59.566376;30.134945
342;59.566376;30.134945
343;59.566079;30.136346
344;59.566079;30.136346
345;59.565681;30.138219
346;59.56571;30.13824
347;59.56571;30.13824
348;59.565681;30.138219
349;59.56551;30.139021
350;59.565487;30.139003
351;59.565487;30.139004
352;59.566241;30.139582
353;59.56627;30.139454
354;59.56627;30.139454
355;59.566241;30.139582
356;59.567292;30.14035
357;59.567292;30.14035
358;59.56796;30.140832
359;59.56796;30.140832
360;59.568676;30.141349
361;59.568676;30.141349
362;59.569373;30.141852
363;59.569388;30.141781
364;59.569388;30.141781
365;59.569414;30.141662
366;59.570028;30.14041
367;59.570028;30.14041
368;59.570601;30.139224
369;59.570601;30.139224
370;59.570736;30.138908
371;59.571147;30.138074
372;59.571147;30.138074
373;59.571853;30.136631
374;59.571853;30.136631
375;59.571784;30.136772
376;59.570228;30.135613
377;59.570228;30.135613
378;59.569178;30.13483
379;59.569178;30.134831
380;59.568144;30.134061
381;59.568144;30.134061
382;59.567149;30.133319
383;59.567149;30.133319
384;59.56678;30.133044
385;59.567292;30.130644
386;59.567292;30.130644
387;59.567704;30.128695
388;59.567704;30.128695
389;59.568218;30.126273
390;59.568218;30.126273
391;59.56853;30.124801
392;59.56853;30.124801
393;59.569036;30.122423
394;59.569036;30.122423
395;59.569061;30.122304
396;59.568661;30.121991
397;59.568683;30.121874
398;59.568683;30.121874
399;59.568661;30.121991
400;59.567221;30.12085
401;59.567221;30.12085
402;59.568226;30.121645
403;59.567838;30.123526
404;59.567838;30.123526
405;59.567517;30.125083
