name,crack_num,pits_num,markup_num,lat,long,litter
0,0,0,0,59.564018999999995,30.118965000000003,0
1,0,0,0,59.564018999999995,30.118965000000003,3
2,0,0,0,59.563842,30.119546000000003,4
3,0,0,0,59.563842,30.119546000000003,0
4,0,0,0,59.563614,30.120286,3
5,0,0,0,59.563614,30.120286,0
6,0,0,1,59.563505000000006,30.120496999999997,1
7,0,0,0,59.563345,30.120683000000003,3
8,0,0,0,59.563345,30.120682000000002,4
9,1,0,0,59.563109999999995,30.120951,3
10,1,0,0,59.563109999999995,30.120951,4
11,1,0,0,59.563161,30.120895,2
12,1,0,0,59.562883,30.119998,0
13,1,0,0,59.562883,30.119998,2
14,1,0,1,59.562721999999994,30.119483000000002,2
15,1,0,1,59.562514,30.119007,1
16,1,0,1,59.562514,30.119007,2
17,0,0,1,59.562362,30.118658,1
18,1,0,1,59.562028000000005,30.118249,0
19,1,0,1,59.562028000000005,30.118249,0
20,0,0,0,59.561549,30.117634999999996,1
21,0,0,0,59.561549,30.117634999999996,4
22,0,0,0,59.561523,30.117597999999997,3
23,0,0,1,59.561580000000006,30.117339,1
24,0,0,0,59.561792000000004,30.116902000000003,0
25,0,0,0,59.561792000000004,30.116902000000003,2
26,2,0,0,59.561856000000006,30.116788,3
27,1,0,0,59.562011,30.116602,3
28,0,0,0,59.562175,30.116321000000003,0
29,0,0,0,59.562175,30.116321000000003,0
30,0,0,0,59.562368000000006,30.115990000000004,2
31,0,0,0,59.562435,30.116013,4
32,0,0,0,59.562435,30.116013,3
33,1,0,0,59.562796,30.116137,1
34,1,0,0,59.562940000000005,30.11605,4
35,1,0,0,59.56296700000001,30.116094,0
36,1,0,0,59.56296700000001,30.116094,1
37,1,0,0,59.563461,30.116896,3
38,1,0,0,59.563461,30.116896,1
39,0,0,0,59.563979,30.117744000000002,0
40,0,0,0,59.563979,30.117744000000002,2
41,3,0,0,59.564249,30.118185999999998,0
42,3,0,0,59.564237,30.118229,2
43,3,0,0,59.564237,30.118229,0
44,3,0,0,59.564249,30.118185999999998,2
45,0,0,1,59.564606000000005,30.118713,0
46,0,0,1,59.564606000000005,30.118714,1
47,0,0,1,59.564676,30.118807,3
48,1,0,1,59.565005000000006,30.11908,0
49,1,0,1,59.565005000000006,30.11908,3
